"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Dplus KIA",4,1,3,33.7,33,40,0.83,0.54,0.3,"-5.5%",66.5,-41.5,1029,"75%","75%","25%",4,"38%","50%","44%","0%","25%","17%","49.4%","46.3%",4.45,1.61,1.62
"DRX",3,0,3,35.7,42,77,0.55,1.11,-0.94,"-8.8%",37.9,-37.9,-975,"33%","33%","0%",4,"33%","67%","36%",,"33%","17%","49.5%","48.0%",3.59,1.57,1.77
"Gen.G",11,9,2,30,168,89,1.89,0.78,0.79,"4.0%",63,18.8,785,"73%","45%","45%",4.1,"50%","45%","61%","100%","45%","56%","50.4%","54.4%",3.29,1.23,1.94
"Hanwha Life Esports",9,3,6,32.3,107,122,0.88,0.79,-0.88,"-0.8%",38.4,-5,-881,"22%","22%","56%",2.8,"56%","44%","43%","0%","56%","50%","49.7%","46.5%",4.19,1.6,1.51
"KT Rolster",13,7,6,31.9,167,134,1.25,0.73,-0.12,"2.5%",52.4,1.4,42,"62%","46%","46%",4.1,"28%","46%","52%","100%","54%","58%","50.2%","49.3%",3.74,1.4,1.78
"T1",22,11,11,31.6,233,290,0.8,0.75,0.15,"-0.9%",45.5,4.5,-111,"41%","64%","64%",4.7,"65%","55%","50%","50%","55%","55%","50.0%","50.6%",3.46,1.35,1.59
