"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"LeBlanc","Top",1,"0.5%","55.6%","73.2%","100%","0%",4,3,6,3.3,"62.5%","75.0%","0%",800,832,31,9.5,"30.6%",808,"37.4%","25.9%",0.55,0.04
"Lee Sin","Jungle",18,"8.8%","5.9%","14.6%","72%","89%",46,40,137,4.6,"77.2%","23.4%","39%",265,71,0.1,6,"16.2%",327,"14.1%","18.4%",0.64,0.38
"Leona","Support",18,"8.8%","1.5%","10.2%","50%","56%",18,57,140,2.8,"65.0%","24.6%","50%",146,27,0.9,1.2,"2.5%",98,"4.6%","9.2%",1.89,0.48
"Lillia","Jungle",5,"2.4%","1.0%","3.4%","60%","60%",20,9,33,5.9,"77.9%","15.0%","40%",314,277,7.6,7.2,"20.3%",523,"23.9%","21.6%",0.28,0.35
"Lissandra","-",0,"0%","0.5%","0.5%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Lucian","ADC",7,"3.4%","13.7%","17.1%","43%","71%",24,22,30,2.5,"66.7%","27.8%","14%",-233,-205,-5.4,9.1,"28.9%",548,"25.9%","25.8%",0.47,0.46
"Lulu","Support",13,"6.3%","7.3%","13.7%","54%","62%",5,19,119,6.5,"86.7%","14.4%","31%",-11,65,-7.5,0.7,"2.3%",135,"6.4%","9.2%",1.6,0.31
"Malphite","Top",7,"3.4%","6.3%","9.8%","43%","100%",12,13,44,4.3,"77.8%","13.7%","14%",-136,-105,-8.3,8.2,"23.8%",467,"24.4%","21.8%",0.41,0.2
"Maokai","Jungle",59,"28.8%","25.9%","59.5%","46%","42%",76,156,387,3,"76.7%","21.2%","37%",-56,-90,-2.1,5.1,"12.3%",361,"17.7%","16.5%",0.37,0.35
"Maokai","Support",9,"4.4%","25.9%","59.5%","56%","44%",10,29,75,2.9,"73.3%","26.4%","0%",72,71,1.7,1.5,"3.4%",248,"12.1%","9.9%",1.49,0.44
"Maokai","Top",1,"0.5%","25.9%","59.5%","100%","0%",0,1,13,13,"61.9%","25.0%","100%",-30,-191,-12,7.8,"19.4%",413,"14.8%","18.1%",0.32,0.03
"Milio","Support",45,"22.0%","37.1%","59.0%","49%","22%",16,67,309,4.9,"80.4%","15.6%","20%",6,-87,3.6,0.9,"2.0%",59,"3.1%","9.1%",1.59,0.33
"Miss Fortune","ADC",1,"0.5%","0.5%","1.0%","0%","100%",2,5,4,1.2,"42.9%","33.3%","0%",-113,341,8,9.6,"33.3%",565,"24.7%","25.4%",0.5,0.36
"Morgana","Support",1,"0.5%","0.0%","0.5%","0%","100%",0,1,2,2,"66.7%","9.1%","0%",217,-194,-10,0.4,"1.5%",169,"12.4%","8.0%",1.93,0.39
"Nami","Support",4,"2.0%","0.0%","2.0%","75%","25%",5,5,50,11,"91.7%","16.1%","25%",143,-134,-3,0.8,"1.6%",160,"7.3%","9.9%",1.58,0.41
"Nautilus","Jungle",6,"2.9%","19.0%","50.2%","67%","33%",4,21,54,2.8,"65.2%","26.3%","50%",-164,-332,-11,4.8,"12.3%",234,"9.5%","14.9%",0.43,0.23
"Nautilus","Support",58,"28.3%","19.0%","50.2%","52%","60%",30,181,428,2.5,"65.0%","25.5%","36%",1,21,1.1,1.2,"2.2%",132,"6.3%","8.5%",1.67,0.32
"Neeko","Jungle",4,"2.0%","78.0%","89.3%","75%","25%",12,6,38,8.3,"71.4%","20.7%","25%",415,565,15.8,7.2,"16.5%",444,"17.7%","19.2%",0.97,0.55
"Neeko","Middle",19,"9.3%","78.0%","89.3%","68%","32%",44,46,106,3.3,"57.9%","21.2%","16%",130,87,5.6,8,"20.8%",504,"23.3%","20.6%",0.32,0.21
"Nilah","ADC",4,"2.0%","6.3%","8.3%","50%","100%",27,10,26,5.3,"88.3%","16.9%","75%",-45,921,2,9.4,"33.8%",589,"25.7%","29.4%",0.32,0.35
"Nocturne","Jungle",12,"5.9%","8.8%","14.6%","42%","67%",24,35,94,3.4,"68.6%","21.1%","50%",175,215,6,6.2,"16.9%",300,"13.6%","18.6%",0.77,0.4
"Ornn","Top",12,"5.9%","1.5%","7.3%","33%","83%",10,31,64,2.4,"61.7%","21.8%","0%",-457,-223,-12.8,7.2,"19.6%",446,"21.4%","18.7%",0.39,0.13
"Poppy","Jungle",32,"15.6%","53.2%","77.6%","50%","53%",53,63,227,4.4,"72.0%","17.0%","41%",-134,-210,-5.6,5.1,"13.0%",249,"12.0%","16.2%",0.42,0.46
"Poppy","Top",18,"8.8%","53.2%","77.6%","61%","67%",37,24,100,5.7,"63.1%","14.5%","6%",59,65,0.3,8.1,"22.8%",583,"26.1%","21.3%",0.38,0.19
"Pyke","Support",1,"0.5%","0.0%","0.5%","100%","100%",2,1,4,6,"46.2%","50.0%","0%",57,-373,0,1.3,"2.4%",179,"7.2%","10.3%",1.93,0.41
"Quinn","Top",5,"2.4%","2.0%","4.4%","80%","100%",22,10,24,4.6,"70.8%","18.9%","20%",126,-138,6,9.9,"30.4%",837,"35.9%","27.3%",0.41,0.14
"Rakan","Support",61,"29.8%","29.8%","59.5%","59%","33%",36,150,547,3.9,"74.7%","22.7%","34%",17,-33,2,1.3,"2.8%",127,"6.2%","9.4%",1.99,0.51
