"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Nautilus","Support",5,"16.1%","48.4%","64.5%","80%","60%",7,12,68,6.3,"77.3%","23.1%","40%",156,21,1.6,1.1,"2.0%",180,"7.2%","9.2%",1.75,0.29
"Neeko","Middle",7,"22.6%","38.7%","61.3%","43%","14%",18,26,50,2.6,"66.7%","20.6%","14%",27,246,7.6,7.6,"21.1%",519,"20.0%","19.7%",0.28,0.23
"Nilah","ADC",1,"3.2%","6.5%","9.7%","100%","0%",10,3,7,5.7,"70.8%","20.0%","100%",349,321,-8,9.3,"36.2%",664,"25.3%","29.1%",0.3,0.24
"Nocturne","Jungle",6,"19.4%","29.0%","48.4%","50%","83%",14,28,55,2.5,"69.0%","27.2%","33%",117,50,8.5,5.9,"17.1%",405,"15.4%","18.7%",0.65,0.44
"Ornn","Top",3,"9.7%","0.0%","9.7%","33%","100%",3,5,12,3,"48.4%","16.1%","33%",-211,-98,-7.3,7.1,"18.6%",321,"16.9%","18.3%",0.41,0.07
"Poppy","Jungle",6,"19.4%","45.2%","71.0%","33%","83%",6,20,34,2,"70.2%","19.8%","33%",158,52,1,4.8,"12.0%",200,"9.8%","15.4%",0.35,0.48
"Poppy","Top",2,"6.5%","45.2%","71.0%","100%","50%",5,1,19,24,"54.5%","4.8%","0%",-335,-46,-10.5,6.9,"18.8%",459,"17.2%","18.1%",0.5,0.24
"Rakan","Support",17,"54.8%","32.3%","87.1%","47%","18%",7,27,158,6.1,"80.5%","15.7%","24%",-70,19,5.5,1.3,"3.0%",124,"6.5%","9.2%",2.21,0.53
"Rell","Jungle",8,"25.8%","38.7%","80.6%","63%","38%",12,18,85,5.4,"86.6%","24.3%","38%",23,-67,-4.1,4.8,"12.4%",231,"11.1%","16.2%",0.41,0.35
"Rell","Support",5,"16.1%","38.7%","80.6%","60%","60%",3,15,60,4.2,"76.8%","19.0%","20%",-12,-207,-3.4,1,"2.2%",138,"5.5%","8.7%",1.7,0.35
"Renata Glasc","Support",1,"3.2%","0.0%","3.2%","100%","0%",0,0,11,11,"84.6%","0.0%","100%",295,378,4,1.2,"1.7%",100,"5.4%","10.3%",1.66,0.29
"Renekton","Top",11,"35.5%","22.6%","58.1%","18%","45%",12,41,46,1.4,"59.8%","25.2%","36%",-4,-152,2.4,8.2,"24.8%",382,"20.4%","21.8%",0.42,0.21
"Rumble","Top",3,"9.7%","16.1%","25.8%","67%","100%",8,8,16,3,"68.6%","20.0%","0%",917,574,18.7,8.5,"24.6%",695,"31.4%","23.1%",0.39,0.12
"Ryze","Top",1,"3.2%","0.0%","3.2%","100%","100%",4,0,9,13,"59.1%","0.0%","0%",460,367,22,8.9,"28.1%",736,"32.8%","23.7%",0.54,0.24
"Samira","ADC",1,"3.2%","0.0%","3.2%","0%","100%",2,5,4,1.2,"85.7%","20.8%","0%",-407,335,-1,8.6,"31.3%",510,"24.5%","25.6%",0.42,0.16
"Sejuani","Jungle",17,"54.8%","38.7%","93.5%","41%","47%",20,46,126,3.2,"77.2%","24.2%","24%",-97,-48,0.7,5.3,"12.8%",287,"14.6%","16.1%",0.39,0.38
"Singed","Support",1,"3.2%","0.0%","3.2%","0%","100%",0,3,1,0.3,"25.0%","23.1%","0%",261,-158,4,1.1,"2.0%",43,"3.0%","7.8%",2.19,0.29
"Sivir","ADC",4,"12.9%","9.7%","22.6%","50%","100%",7,9,30,4.1,"74.0%","17.0%","25%",-84,92,4.5,10,"31.3%",562,"26.4%","23.7%",0.48,0.44
"Sylas","Middle",1,"3.2%","3.2%","6.5%","100%","100%",2,1,9,11,"57.9%","25.0%","100%",-158,-605,-4,8.3,"20.5%",505,"24.3%","21.1%",0.43,0.13
"Taliyah","Middle",3,"9.7%","16.1%","25.8%","67%","67%",12,8,31,5.4,"76.8%","21.1%","33%",-260,-55,-7,7.7,"23.1%",710,"27.1%","20.6%",0.57,0.21
"Thresh","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Tristana","Middle",5,"16.1%","67.7%","83.9%","60%","20%",25,8,25,6.3,"72.5%","18.2%","40%",477,250,5.2,10,"28.9%",634,"29.1%","27.0%",0.52,0.28
"Varus","ADC",3,"9.7%","0.0%","9.7%","33%","67%",12,6,22,5.7,"79.1%","14.6%","0%",-13,-439,-6.7,8.6,"29.2%",601,"28.2%","26.8%",0.52,0.13
"Vayne","ADC",1,"3.2%","0.0%","3.2%","0%","100%",1,3,1,0.7,"40.0%","17.6%","0%",-603,-6,-8,9.9,"35.7%",312,"19.6%","25.4%",0.46,0.27
"Veigar","Middle",1,"3.2%","0.0%","3.2%","0%","100%",3,4,5,2,"72.7%","19.0%","0%",-254,-841,-10,6.6,"19.5%",514,"25.7%","20.3%",0.63,0.24
"Vi","Jungle",1,"3.2%","32.3%","35.5%","0%","0%",1,2,4,2.5,"62.5%","28.6%","100%",271,138,-2,6.5,"17.0%",148,"12.0%","17.9%",0.4,0.44
"Viego","Jungle",5,"16.1%","9.7%","25.8%","40%","80%",19,13,21,3.1,"63.5%","18.1%","40%",170,160,2.4,6.3,"18.5%",327,"15.3%","20.3%",0.32,0.59
"Wukong","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"Xayah","ADC",16,"51.6%","45.2%","96.8%","69%","19%",64,30,84,4.9,"72.2%","15.6%","31%",119,-76,0.9,10.5,"34.4%",578,"27.0%","27.8%",0.46,0.42
"Xerath","Middle",2,"6.5%","9.7%","16.1%","50%","100%",9,5,8,3.4,"73.9%","35.7%","50%",-180,-240,-9.5,8.3,"20.9%",732,"36.9%","21.1%",0.51,0.11
"Yone","Middle",5,"16.1%","12.9%","29.0%","60%","100%",24,10,32,5.6,"80.0%","20.0%","20%",36,122,-0.6,8.9,"27.2%",494,"26.0%","25.8%",0.46,0.23
"Zeri","ADC",14,"45.2%","35.5%","80.6%","57%","57%",81,20,61,7.1,"77.2%","15.3%","0%",-47,-26,-1.9,11.3,"38.6%",695,"33.8%","31.1%",0.41,0.59
"Ziggs","-",0,"0%","3.2%","3.2%","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
