"Team","GP","W","L","AGT","K","D","KD","CKPM","GPR","GSPD","EGR","MLR","GD15","FB%","FT%","F3T%","PPG","HLD%","FD%","DRG%","ELD%","FBN%","BN%","LNE%","JNG%","WPM","CWPM","WCPM"
"Dplus KIA",4,1,3,31.1,28,46,0.61,0.6,-0.27,"-1.9%",46.8,-21.8,-331,"50%","25%","50%",4.3,"43%","75%","69%","0%","50%","33%","49.3%","50.8%",3.5,1.42,1.62
"Gen.G",16,10,6,34.1,215,171,1.26,0.71,0.34,"3.7%",49.3,13.2,350,"31%","44%","56%",4.5,"53%","31%","49%","33%","50%","62%","50.6%","52.9%",3.57,1.3,1.97
"Hanwha Life Esports",12,5,7,33.1,111,128,0.87,0.6,-0.77,"-3.8%",38.8,2.8,-773,"50%","42%","33%",2.8,"45%","33%","39%","33%","42%","50%","49.8%","47.6%",3.75,1.59,1.85
"KT Rolster",17,9,8,34.7,207,188,1.1,0.67,0.06,"-1.1%",53.8,-0.9,58,"53%","71%","53%",4,"42%","53%","57%","75%","41%","39%","49.9%","48.2%",3.76,1.41,1.74
"Liiv SANDBOX",4,1,3,30,27,50,0.54,0.64,-0.87,"-6.2%",35.2,-10.2,-801,"25%","0%","50%",3.8,"75%","25%","19%",,"50%","40%","49.5%","47.1%",3.22,1.51,1.56
"T1",13,7,6,37,187,192,0.97,0.79,0.47,"2.8%",61.8,-7.9,557,"77%","62%","54%",5.4,"54%","85%","56%","60%","62%","56%","50.0%","51.6%",3.65,1.47,1.68
