"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Gnar","Top",4,"8.0%","46.0%","54.0%","25%","75%",11,11,11,2,"45.8%","18.0%","-","-","-","-",8.6,"-",481,"25.2%","23.6%",0.36,0.15
"Jayce","Middle",4,"8.0%","40.0%","48.0%","25%","50%",15,13,20,2.7,"71.4%","15.9%","-","-","-","-",8.5,"-",773,"32.6%","25.4%",0.32,0.41
"Lissandra","Middle",4,"8.0%","16.0%","24.0%","25%","100%",8,15,29,2.5,"72.5%","20.5%","-","-","-","-",7.3,"-",337,"18.9%","18.8%",0.3,0.2
"Renekton","Top",4,"8.0%","2.0%","10.0%","50%","75%",7,15,9,1.1,"38.1%","24.2%","-","-","-","-",7.4,"-",342,"19.8%","20.3%",0.36,0.17
"Sylas","Middle",4,"8.0%","32.0%","40.0%","75%","50%",21,12,21,3.5,"63.6%","25.0%","-","-","-","-",8.7,"-",488,"24.3%","25.2%",0.3,0.33
"Tristana","Middle",4,"8.0%","14.0%","22.0%","50%","75%",14,11,14,2.5,"59.6%","21.6%","-","-","-","-",9.7,"-",582,"27.2%","27.0%",0.5,0.25
"Varus","ADC",4,"8.0%","6.0%","14.0%","25%","100%",8,8,23,3.9,"70.5%","14.5%","-","-","-","-",9.1,"-",541,"27.1%","24.6%",0.44,0.37
"Annie","Support",3,"6.0%","34.0%","74.0%","33%","67%",2,11,25,2.5,"81.8%","28.9%","-","-","-","-",0.6,"-",201,"11.2%","9.1%",1.62,0.37
"Ryze","Middle",3,"6.0%","2.0%","8.0%","0%","100%",3,12,3,0.5,"42.9%","24.0%","-","-","-","-",8.8,"-",450,"32.2%","26.3%",0.43,0.27
"Syndra","Middle",3,"6.0%","16.0%","22.0%","67%","100%",7,12,18,2.1,"64.1%","31.6%","-","-","-","-",8,"-",547,"30.0%","22.1%",0.35,0.21
"Elise","Jungle",2,"4.0%","6.0%","10.0%","50%","50%",3,4,15,4.5,"75.0%","12.1%","-","-","-","-",5,"-",438,"19.7%","16.6%",0.92,0.42
"Fiora","Top",2,"4.0%","30.0%","34.0%","0%","50%",4,3,6,3.3,"45.5%","7.5%","-","-","-","-",9.4,"-",439,"18.3%","26.3%",0.4,0.19
"Tahm Kench","Support",2,"4.0%","6.0%","10.0%","0%","50%",3,10,8,1.1,"73.3%","25.6%","-","-","-","-",1.3,"-",154,"8.4%","9.6%",2.09,0.47
"Taliyah","Middle",2,"4.0%","2.0%","6.0%","0%","50%",4,7,14,2.6,"69.2%","17.5%","-","-","-","-",9.3,"-",760,"30.2%","25.2%",0.42,0.21
"Camille","Top",1,"2.0%","2.0%","4.0%","0%","0%",0,3,6,2,"66.7%","33.3%","-","-","-","-",8.1,"-",367,"23.2%","23.2%",0.28,0.22
"Cassiopeia","Middle",1,"2.0%","6.0%","8.0%","0%","100%",0,4,4,1,"80.0%","15.4%","-","-","-","-",8.4,"-",432,"28.3%","22.2%",0.34,0
"Cho'Gath","Top",1,"2.0%","0.0%","2.0%","0%","100%",1,3,1,0.7,"50.0%","16.7%","-","-","-","-",7,"-",159,"10.3%","19.4%",0.54,0.05
"Draven","ADC",1,"2.0%","6.0%","8.0%","0%","100%",0,3,2,0.7,"66.7%","23.1%","-","-","-","-",9.4,"-",172,"16.8%","27.0%",0.34,0.2
"Jarvan IV","Top",1,"2.0%","0.0%","2.0%","0%","100%",2,5,1,0.6,"33.3%","25.0%","-","-","-","-",8.3,"-",460,"29.5%","21.0%",0.33,0.29
"Olaf","Top",1,"2.0%","2.0%","4.0%","100%","100%",4,2,6,5,"45.5%","20.0%","-","-","-","-",7.9,"-",486,"16.0%","21.1%",0.37,0.32
"Rumble","Top",1,"2.0%","34.0%","36.0%","100%","0%",9,0,7,16,"76.2%","0.0%","-","-","-","-",7.3,"-",808,"35.1%","21.8%",0.55,0.16
"Vex","Middle",1,"2.0%","2.0%","4.0%","100%","100%",3,2,5,4,"53.3%","50.0%","-","-","-","-",7.8,"-",356,"17.8%","19.1%",0.88,0.33
"Xin Zhao","Jungle",1,"2.0%","0.0%","2.0%","0%","100%",0,4,2,0.5,"50.0%","26.7%","-","-","-","-",6.7,"-",233,"17.2%","18.1%",0.36,0.39
