"Champion","Pos","GP","P%","B%","P+B%","W%","CTR%","K","D","A","KDA","KP","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","GOLD%","WPM","WCPM"
"Gragas","Top",4,"7.7%","1.9%","9.6%","75%","75%",4,3,16,6.7,"43.5%","8.3%","-","-","-","-",8.3,"-",465,"21.5%","18.8%",0.26,0.18
"Gwen","Top",4,"7.7%","11.5%","19.2%","75%","25%",12,3,23,11.7,"60.3%","7.7%","-","-","-","-",8.8,"-",388,"19.1%","23.4%",0.31,0.28
"Rumble","Top",4,"7.7%","44.2%","51.9%","25%","0%",14,19,24,2,"65.5%","23.8%","-","-","-","-",6.9,"-",635,"28.6%","20.2%",0.4,0.09
"Sivir","ADC",4,"7.7%","1.9%","9.6%","50%","75%",13,7,14,3.9,"65.9%","16.7%","-","-","-","-",10,"-",644,"34.3%","27.1%",0.47,0.45
"Tristana","ADC",4,"7.7%","48.1%","82.7%","50%","0%",15,8,11,3.3,"57.8%","15.7%","-","-","-","-",10,"-",668,"29.9%","26.7%",0.33,0.43
"Vi","Jungle",4,"7.7%","53.8%","61.5%","50%","25%",10,9,27,4.1,"72.5%","22.5%","-","-","-","-",5.6,"-",303,"16.4%","18.3%",0.46,0.32
"Wukong","Jungle",4,"7.7%","0.0%","7.7%","50%","100%",11,5,22,6.6,"71.7%","14.7%","-","-","-","-",6.2,"-",282,"14.4%","19.8%",0.31,0.34
"Ziggs","ADC",4,"7.7%","7.7%","15.4%","25%","75%",12,9,7,2.1,"57.6%","17.3%","-","-","-","-",9.3,"-",727,"38.7%","25.8%",0.4,0.23
"Blitzcrank","Support",3,"5.8%","1.9%","7.7%","0%","100%",3,10,17,2,"71.4%","22.2%","-","-","-","-",1.5,"-",173,"9.1%","10.0%",1.72,0.4
"Kennen","Top",3,"5.8%","3.8%","9.6%","33%","100%",9,11,5,1.3,"50.0%","32.4%","-","-","-","-",8.5,"-",487,"30.1%","23.5%",0.35,0.18
"Milio","Support",3,"5.8%","9.6%","15.4%","67%","67%",0,3,26,8.7,"92.9%","12.0%","-","-","-","-",1.1,"-",64,"3.2%","9.3%",1.78,0.26
"Akali","Middle",2,"3.8%","0.0%","3.8%","0%","100%",6,5,4,2,"76.9%","13.9%","-","-","-","-",8.1,"-",396,"19.3%","25.2%",0.24,0.14
"Lillia","Jungle",2,"3.8%","7.7%","11.5%","50%","100%",8,3,11,6.3,"70.4%","9.4%","-","-","-","-",6.3,"-",554,"20.4%","20.8%",0.42,0.39
"Maokai","Support",2,"3.8%","40.4%","88.5%","50%","50%",5,6,15,3.3,"87.0%","25.0%","-","-","-","-",1.5,"-",286,"14.4%","10.8%",1.25,0.44
"Nidalee","Jungle",2,"3.8%","1.9%","5.8%","50%","50%",9,5,15,4.8,"70.6%","27.8%","-","-","-","-",6.5,"-",547,"20.3%","21.5%",0.48,0.38
"Skarner","Jungle",2,"3.8%","0.0%","3.8%","50%","100%",0,7,25,3.6,"89.3%","26.9%","-","-","-","-",4.3,"-",104,"4.6%","13.6%",0.29,0.24
"Yone","Middle",2,"3.8%","1.9%","5.8%","50%","100%",9,7,11,2.9,"87.0%","21.9%","-","-","-","-",9.3,"-",743,"30.0%","28.8%",0.44,0.14
"Camille","Top",1,"1.9%","1.9%","3.8%","0%","100%",1,2,1,1,"100.0%","16.7%","-","-","-","-",8.3,"-",237,"22.0%","25.1%",0.25,0.13
"Galio","Support",1,"1.9%","0.0%","1.9%","100%","100%",0,0,10,10,"83.3%","0.0%","-","-","-","-",1.2,"-",205,"9.2%","9.1%",1.56,0.25
"Janna","Support",1,"1.9%","0.0%","1.9%","0%","100%",0,2,7,3.5,"70.0%","20.0%","-","-","-","-",0.9,"-",167,"6.5%","8.7%",2.8,0.57
"Kai'Sa","Middle",1,"1.9%","65.4%","100.0%","0%","100%",7,3,2,3,"90.0%","12.5%","-","-","-","-",9.1,"-",1020,"44.4%","34.9%",0.4,0.35
"Kalista","ADC",1,"1.9%","1.9%","3.8%","100%","100%",6,0,5,11,"61.1%","0.0%","-","-","-","-",10.5,"-",392,"16.9%","28.7%",0.43,0.26
"Kha'Zix","Jungle",1,"1.9%","1.9%","3.8%","0%","100%",4,4,6,2.5,"76.9%","16.7%","-","-","-","-",6.3,"-",433,"14.1%","21.0%",0.78,0.45
"Lucian","ADC",1,"1.9%","1.9%","3.8%","100%","100%",6,1,3,9,"81.8%","16.7%","-","-","-","-",10.5,"-",618,"26.3%","28.3%",0.54,0.45
"Malphite","Top",1,"1.9%","0.0%","1.9%","0%","100%",0,3,5,1.7,"62.5%","15.8%","-","-","-","-",8.5,"-",631,"24.3%","20.9%",0.27,0.31
"Neeko","Jungle",1,"1.9%","17.3%","36.5%","0%","100%",1,6,5,1,"100.0%","26.1%","-","-","-","-",6.5,"-",493,"24.0%","18.9%",0.86,0.48
"Nilah","ADC",1,"1.9%","1.9%","3.8%","100%","100%",8,1,10,18,"72.0%","6.7%","-","-","-","-",8.4,"-",626,"26.5%","29.6%",0.39,0.2
